Cliente;"Tiempo
entre
llegada";"Hora de
llegada";"Hora de
atención";"Hora de
salida";"Tiempo de
Servicio";Cajero
1;0;08:05:00;08:05:00;08:12:00;7;1
2;6;08:11:00;08:11:00;08:20:00;9;2
3;4;08:15:00;08:15:00;08:22:00;7;1
4;3;08:18:00;08:08:18;08:23:00;5;3
5;3;08:21:00;08:21:00;08:30:00;9;2
6;3;08:24:00;08:24:00;08:29:00;5;1
7;3;08:27:00;08:27:00;08:33:00;6;3
8;4;08:31:00;08:31:00;08:40:00;9;1
9;0;08:31:00;08:31:00;08:36:00;5;2
10;6;08:37:00;08:37:00;08:44:00;7;2
11;2;08:39:00;08:39:00;08:45:00;6;3
12;2;08:41:00;08:41:00;08:48:00;7;1
13;1;08:42:00;08:44:00;08:50:00;6;2
14;3;08:45:00;08:45:00;08:52:00;7;3
15;1;08:46:00;08:48:00;08:58:00;10;1
16;9;08:55:00;08:55:00;09:01:00;6;2
17;0;08:05:00;08:55:00;09:05:00;10;3
18;2;08:57:00;08:58:00;09:07:00;9;1
19;13;09:10:00;09:10:00;09:15:00;5;1
20;2;09:12:00;09:12:00;09:20:00;8;2
21;2;09:14:00;09:14:00;09:19:00;5;3
22;1;09:15:00;09:15:00;09:22:00;7;1
23;3;09:18:00;09:19:00;09:27:00;8;3
24;3;09:21:00;09:21:00;09:25:00;4;2
25;7;09:28:00;09:28:00;09:33:00;5;1
26;1;09:29:00;09:29:00;09:40:00;11;2
27;4;09:33:00;09:33:00;09:39:00;6;1
28;2;09:35:00;09:35:00;09:40:00;5;3
29;3;09:38:00;09:39:00;09:45:00;6;1
30;1;09:39:00;09:40:00;09:50:00;10;2
31;3;09:42:00;09:42:00;09:50:00;8;3
32;2;09:44:00;09:45:00;10:00:00;15;1
33;2;09:46:00;09:50:00;10:01:00;11;3
34;2;09:48:00;09:50:00;10:00:00;10;2
35;6;09:54:00;10:00:00;10:15:00;15;1
36;3;09:57:00;10:00:00;10:10:00;10;2
37;3;10:00:00;10:01:00;10:08:00;7;3
38;14;10:14:00;10:14:00;10:22:00;8;2
39;0;10:14:00;10:14:00;10:20:00;6;3
40;2;10:16:00;10:16:00;10:24:00;8;1
