Marca;Antiguedad_Lanzamiento;Tiempo_encendido
Dell;Mediana antigüedad;5.42
Hp;Antiguo;20.05
Acer;Moderno;6.81
Hp;Antiguo;19.7
Acer;Mediana antigüedad;8.42
Lenovo;Antiguo;27.03
Acer;Antiguo;11.89
Hp;Moderno;7.41
Acer;Moderno;6.3
Dell;Mediana antigüedad;5.36
Acer;Antiguo;12.12
Acer;Mediana antigüedad;8.46
Dell;Mediana antigüedad;5.38
Hp;Moderno;7.47
Lenovo;Mediana antigüedad;11.3
Lenovo;Moderno;6.21
Acer;Moderno;6.23
Acer;Moderno;5.98
Lenovo;Moderno;6.47
Dell;Antiguo;11.13
Hp;Mediana antigüedad;11.84
Acer;Antiguo;10.44
Dell;Antiguo;9.18
Acer;Moderno;6.7
Dell;Mediana antigüedad;5.43
Dell;Mediana antigüedad;5.4
Hp;Mediana antigüedad;11.98
Hp;Antiguo;19.88
Lenovo;Moderno;5.93
Acer;Mediana antigüedad;8.36
Hp;Mediana antigüedad;12.46
Acer;Antiguo;10.52
Dell;Moderno;3.8
Acer;Mediana antigüedad;8.5
Hp;Antiguo;18.59
Dell;Moderno;3.9
Dell;Mediana antigüedad;5.54
Hp;Moderno;7.44
Dell;Moderno;3.81
Dell;Mediana antigüedad;5.55
Dell;Moderno;3.8
Lenovo;Moderno;5.08
Dell;Antiguo;8.73
Acer;Mediana antigüedad;8.69
Lenovo;Mediana antigüedad;9.58
Hp;Mediana antigüedad;12.37
Acer;Mediana antigüedad;8.32
Lenovo;Moderno;6.09
Lenovo;Mediana antigüedad;8.67
Dell;Moderno;3.83
Lenovo;Mediana antigüedad;9.81
Hp;Antiguo;20.36
Acer;Moderno;5.34
Hp;Mediana antigüedad;12.05
Dell;Antiguo;8.19
Lenovo;Antiguo;27.23
Dell;Mediana antigüedad;5.46
Hp;Moderno;7.4
Lenovo;Moderno;6.33
Acer;Antiguo;11.06
Lenovo;Antiguo;26.78
Acer;Antiguo;11.76
Lenovo;Mediana antigüedad;9.75
Lenovo;Antiguo;27.48
Acer;Antiguo;12.61
Lenovo;Moderno;5.85
Hp;Moderno;7.48
Acer;Moderno;5.9
Hp;Antiguo;18.99
Lenovo;Mediana antigüedad;9.4
Hp;Mediana antigüedad;11.97
Lenovo;Antiguo;26.11
Dell;Moderno;3.85
Lenovo;Mediana antigüedad;14.62
Acer;Mediana antigüedad;8.37
Acer;Moderno;6.15
Hp;Moderno;7.42
Dell;Moderno;3.91
Hp;Antiguo;19.27
Lenovo;Moderno;5.97
Dell;Antiguo;8.36
Lenovo;Antiguo;27.09
Dell;Moderno;3.81
Hp;Moderno;7.45
Dell;Antiguo;10.95
Dell;Antiguo;9.87
Hp;Moderno;7.39
Dell;Moderno;3.9
Hp;Antiguo;20.12
Acer;Moderno;5.8
Hp;Mediana antigüedad;11.53
Dell;Moderno;3.82
Dell;Antiguo;9.85
Dell;Mediana antigüedad;5.47
Acer;Mediana antigüedad;8.47
Lenovo;Moderno;6.54
Acer;Antiguo;11.93
Lenovo;Antiguo;26.52
Dell;Antiguo;13.81
Dell;Antiguo;12.95
Lenovo;Mediana antigüedad;8.5
Acer;Antiguo;11.56
Lenovo;Mediana antigüedad;9.09
Acer;Moderno;6.2
Lenovo;Antiguo;27.12
Hp;Moderno;7.46
Lenovo;Antiguo;26.67
Hp;Antiguo;19.34
Hp;Antiguo;19.04
Hp;Moderno;7.43
Acer;Mediana antigüedad;8.55
Acer;Antiguo;12.32
Lenovo;Mediana antigüedad;11.26
Hp;Mediana antigüedad;12.33
Hp;Mediana antigüedad;12.68
Lenovo;Moderno;5.64
Acer;Mediana antigüedad;8.28
Dell;Mediana antigüedad;5.41
Lenovo;Antiguo;26.34
Hp;Mediana antigüedad;12.19
