Cliente;"Tiempo
entre
llegadas";"Hora de
llegada";"Hora de
atención";"Hora de
salida";"Tiempo de
Servicio";Cajero
1;0;08:07:00;08:07:00;08:12:00;5;1
2;2;08:09:00;08:09:00;08:17:00;8;2
3;9;08:18:00;08:18:00;08:23:00;5;3
4;2;08:20:00;08:20:00;08:23:00;3;1
5;0;08:20:00;08:20:00;08:26:00;6;2
6;10;08:30:00;08:30:00;08:35:00;5;1
7;4;08:34:00;08:34:00;08:38:00;4;2
8;1;08:35:00;08:35:00;08:44:00;9;3
9;2;08:37:00;08:37:00;08:40:00;3;1
10;0;08:37:00;08:38:00;08:44:00;6;2
11;0;08:37:00;08:40:00;08:45:00;5;1
12;13;08:50:00;08:50:00;08:58:00;8;1
13;3;08:53:00;08:53:00;08:56:00;3;2
14;3;08:56:00;08:56:00;09:00:00;4;3
15;1;08:57:00;08:57:00;09:05:00;8;2
16;5;09:02:00;09:02:00;09:10:00;8;1
17;3;09:05:00;09:05:00;09:11:00;6;3
18;0;09:05:00;09:05:00;09:13:00;8;2
19;3;09:08:00;09:10:00;09:15:00;5;1
20;4;09:12:00;09:12:00;09:17:00;5;3
21;4;09:16:00;09:16:00;09:20:00;4;2
22;2;09:18:00;09:18:00;09:25:00;7;1
23;0;09:18:00;09:18:00;09:23:00;5;3
24;10;09:28:00;09:28:00;09:33:00;5;2
25;2;09:30:00;09:30:00;09:34:00;4;1
26;1;09:31:00;09:31:00;09:37:00;6;3
27;9;09:40:00;09:40:00;09:48:00;8;1
28;0;09:40:00;09:40:00;09:45:00;5;2
29;0;09:40:00;09:40:00;09:50:00;10;3
30;2;09:42:00;09:45:00;09:54:00;9;2
31;5;09:47:00;09:48:00;09:56:00;8;1
32;2;09:49:00;09:50:00;10:10:00;10;3
33;1;09:50:00;09:54:00;10:05:00;11;2
34;5;09:55:00;09:56:00;10:07:00;11;1
35;0;09:55:00;10:00:00;10:10:00;10;3
36;0;09:55:00;10:05:00;10:10:00;5;2
37;2;09:57:00;10:07:00;10:14:00;7;1
38;4;10:01:00;10:10:00;10:15:00;5;2
39;4;10:05:00;10:10:00;10:18:00;8;3
40;5;10:10:00;10:14:00;10:21:00;7;1
