Cliente;"Tiempo
entre
llegada";"Hora de
llegada";"Hora de
atención";"Hora de
salida";"Tiempo de
Servicio";Cajero
1;0;08:10:00;08:10:00;08:16:00;6;1
2;2;08:12:00;08:12:00;08:18:00;6;2
3;3;08:15:00;08:15:00;08:19:00;4;3
4;3;08:18:00;08:18:00;08:22:00;4;1
5;0;08:18:00;08:18:00;08:24:00;6;2
6;0;08:18:00;08:19:00;08:26:00;7;3
7;7;08:25:00;08:25:00;08:30:00;5;1
8;3;08:28:00;08:28:00;08:34:00;6;2
9;2;08:30:00;08:30:00;08:35:00;5;3
10;8;08:38:00;08:38:00;08:40:00;2;1
11;3;08:41:00;08:41:00;08:43:00;2;2
12;4;08:45:00;08:45:00;08:50:00;5;3
13;3;08:48:00;08:48:00;08:51:00;3;1
14;2;08:50:00;08:50:00;08:55:00;5;3
15;0;08:50:00;08:50:00;08:54:00;4;2
16;2;08:52:00;08:52:00;08:56:00;4;1
17;3;08:55:00;08:55:00;08:58:00;3;2
18;0;08:55:00;08:55:00;09:02:00;7;3
19;2;08:57:00;05:57:00;09:03:00;6;1
20;1;08:58:00;08:58:00;09:05:00;7;2
21;0;08:58:00;09:02:00;09:08:00;6;3
22;3;09:01:00;09:03:00;09:10:00;7;1
23;3;09:04:00;09:05:00;09:15:00;10;2
24;2;09:06:00;09:08:00;09:14:00;6;3
25;2;09:08:00;09:10:00;09:14:00;4;1
26;3;09:11:00;09:14:00;09:22:00;8;3
27;1;09:12:00;09:15:00;09:23:00;8;2
28;13;09:25:00;09:25:00;09:28:00;3;1
29;0;09:25:00;09:25:00;09:33:00;8;2
30;4;09:29:00;09:29:00;09:37:00;8;3
31;1;09:30:00;09:30:00;09:35:00;5;1
32;2;09:32:00;09:33:00;09:36:00;3;2
33;2;09:34:00;14:45:00;09:42:00;7;1
34;1;09:35:00;09:36:00;09:43:00;7;2
35;4;09:39:00;09:39:00;09:43:00;4;3
36;10;09:49:00;09:49:00;09:55:00;6;1
37;3;09:52:00;09:52:00;10:01:00;9;2
38;5;09:57:00;09:57:00;10:06:00;9;1
39;5;10:02:00;10:02:00;10:10:00;8;2
40;3;10:05:00;10:05:00;10:15:00;10;3
