Cliente;"Tiempo
entre
llegada";"Hora de
llegada";"Hora de
atención";"Hora de
salida";"Tiempo de
Servicio";Cajero
1;0;08:15:00;08:15:00;08:20:00;5;1
2;2;08:17:00;08:17:00;08:21:00;4;2
3;1;08:18:00;08:18:00;08:24:00;6;3
4;2;08:22:00;08:22:00;08:30:00;8;1
5;0;08:22:00;08:22:00;08:34:00;12;2
6;2;08:24:00;08:24:00;08:29:00;5;3
7;4;08:28:00;08:29:00;08:35:00;6;3
8;2;08:30:00;08:30:00;08:34:00;4;1
9;4;08:34:00;08:34:00;08:39:00;5;1
10;0;08:34:00;08:34:00;08:40:00;6;2
11;1;08:35:00;08:35:00;08:41:00;6;3
12;2;08:37:00;08:39:00;08:46:00;7;1
13;2;08:39:00;08:40:00;08:45:00;5;2
14;0;08:39:00;08:41:00;08:50:00;9;3
15;3;08:42:00;08:45:00;08:51:00;6;2
16;0;08:42:00;08:46:00;08:52:00;6;1
17;2;08:44:00;08:50:00;08:53:00;3;3
18;3;08:47:00;08:51:00;08:55:00;4;2
19;1;08:48:00;08:52:00;09:00:00;8;1
20;2;08:50:00;08:53:00;09:00:00;7;3
21;8;08:58:00;08:58:00;09:05:00;7;2
22;1;08:59:00;09:00:00;09:07:00;7;1
23;4;09:03:00;09:03:00;09:13:00;10;3
24;4;09:07:00;09:07:00;09:18:00;11;2
25;2;09:09:00;09:09:00;09:15:00;6;1
26;5;09:14:00;09:14:00;09:18:00;4;3
27;2;09:16:00;09:16:00;09:22:00;6;1
28;1;09:17:00;09:18:00;09:24:00;6;3
29;3;09:20:00;09:20:00;09:30:00;10;2
30;2;09:22:00;09:22:00;09:27:00;5;1
31;1;09:23:00;09:24:00;09:33:00;9;3
32;2;09:25:00;09:27:00;09:35:00;8;1
33;4;09:29:00;09:30:00;09:40:00;10;2
34;9;09:38:00;09:38:00;09:48:00;10;1
35;12;09:50:00;09:50:00;10:05:00;15;1
36;8;09:58:00;09:58:00;10:07:00;9;2
37;4;10:02:00;10:02:00;10:10:00;8;3
38;2;10:04:00;10:05:00;10:15:00;10;1
39;0;10:04:00;10:07:00;10:20:00;13;2
40;7;10:11:00;10:11:00;10:21:00;10;3
